item                              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
mutationRate.s:6026_introns       0.180922 0.005396 0.084885 0.157259 0.065039 0.386564 19527351 247.4403 0.165045
mutationRate.s:6041_introns       0.769624 0.027569 0.432759 0.647422 0.18678  1.586989 19610106 246.3961 0.659417
mutationRate.s:6098_introns       0.037351 0.001531 0.024135 0.030102 0.011699 0.093999 19439255 248.5617 0.031906
mutationRate.s:6295_introns       0.047757 0.002519 0.039467 0.038289 0.014063 0.148566 19686449 245.4406 0.037639
mutationRate.s:6298_introns       0.005393 0.000418 0.006556 0.002881 0.001112 0.018328 19682971 245.4840 0.003675
mutationRate.s:6303_introns       0.014065 0.000669 0.010463 0.010348 0.003752 0.037242 19771203 244.3885 0.01102 
mutationRate.s:6366_introns       0.005845 0.000159 0.002489 0.005511 0.002421 0.010039 19647142 245.9316 0.005357
mutationRate.s:6383_introns       0.022727 0.001304 0.020403 0.016504 0.006071 0.070515 19741143 244.7606 0.016828
mutationRate.s:6401_introns       0.002698 9.07E-5  0.001417 0.002554 0.000769 0.005507 19781344 244.2632 0.002327
mutationRate.s:6406_introns       0.003682 0.000183 0.002865 0.002833 0.001273 0.01238  19796954 244.0706 0.003073
mutationRate.s:6420_introns       0.038185 0.001615 0.025332 0.031507 0.006088 0.084634 19633851 246.0981 0.029971
mutationRate.s:6450_introns       0.338746 0.014932 0.234121 0.298903 0.065751 0.802305 19653930 245.8467 0.262471
mutationRate.s:6460_introns       0.00326  8.75E-5  0.001371 0.003395 0.001058 0.005181 19675354 245.5790 0.002952
mutationRate.s:6462_introns       0.117717 0.003196 0.050366 0.110987 0.042693 0.227957 19457969 248.3226 0.107762
mutationRate.s:6494_introns       0.055158 0.00172  0.027006 0.050576 0.02296  0.089375 19594232 246.5957 0.050521
mutationRate.s:6500_introns       0.133157 0.004817 0.075344 0.11255  0.040041 0.278259 19753547 244.6069 0.116076
mutationRate.s:6639_introns       0.006269 0.000189 0.002963 0.006687 0.001862 0.010685 19691640 245.3759 0.005388
mutationRate.s:6641_introns       0.004215 0.000231 0.003605 0.002478 0.001355 0.011825 19762097 244.5011 0.003134
mutationRate.s:6689_introns       0.074742 0.004928 0.077094 0.057127 0.005614 0.247168 19744051 244.7245 0.047127
mutationRate.s:6947_introns       0.407113 0.034092 0.534105 0.204598 0.027026 1.359456 19686477 245.4403 0.219948
mutationRate.s:6992_introns       0.004338 0.000118 0.001868 0.003709 0.001866 0.008053 19282937 250.5767 0.00401 
mutationRate.s:7141_introns       0.005203 0.000201 0.00314  0.004032 0.001745 0.011143 19797807 244.0601 0.004369
mutationRate.s:7174_introns       0.087648 0.002651 0.041863 0.072435 0.035727 0.167639 19377270 249.3568 0.079034
mutationRate.s:7313_introns       0.053982 0.001637 0.025637 0.050508 0.012813 0.104949 19692562 245.3644 0.048087
